price
19000
28200
26650
16200
17500
20250
13800
18200
23000
24050
32100
19700
57400
19700
19650
20800
21900
20800
19700
19200
23000
19750
16950
14500
18800
28850
26000
29500
25600
51000
17800
29800
24200
32200
32500
30000
54700
17800
10300
28750
22300
43000
11950
23200
14100
27000
26000
20050
30300
15900
25500
40450
35300
29700
18100
20300
17100
31700
23600
11450
